sample_id,E_T,S,O,ln_D
s1,9.627351630837904,0.0,0.4583333333333333,-15.755912113046147
s2,7.942391979192743,0.06372549019607843,0.44607843137254904,-16.76053957577113
s3,7.1905866361371,0.5110132158590308,0.0,-14.695191396785987
s4,7.801448301236565,0.504950495049505,0.0,-14.824906409440976
s5,8.469161610331188,0.0,0.5515695067264574,-16.61617250197141
s6,7.909389765119206,0.0,0.367003367003367,-14.349206197546161
s7,8.0692405213746,0.0,0.453551912568306,-16.503086890381628
s8,6.51438049288622,0.5530973451327433,0.004424778761061947,-14.588913920328613
s9,7.069246192646957,0.0,0.60546875,-16.017037557408223
s10,7.182828748758404,0.0,0.5575221238938053,-16.588117866644577
s11,8.281712320055306,0.5211267605633803,0.0,-15.063673362411775
s12,8.667136914414131,0.5145631067961165,0.0,-15.498210898800634
s13,7.633522070371748,0.46875,0.0,-14.531482963711055
s14,7.349146862996486,0.54337899543379,0.0,-14.651697480634432
s15,8.730252119237013,0.46808510638297873,0.0,-15.811978797280311
s16,7.663568812540761,0.0,0.5756302521008403,-16.193155002158832
s17,7.397981103859396,0.0,0.5833333333333334,-16.84922037807049
s18,7.634343129458566,0.5942622950819673,0.0,-14.265361830187556
s19,7.9082384942055315,0.28699551569506726,0.2645739910313901,-16.067514133853038
s20,7.576517696383075,0.0,0.31683168316831684,-15.024453484498173
s21,8.53270510116396,0.0,0.4264705882352941,-16.358899432754498
s22,8.329116670513413,0.0,0.4791666666666667,-16.098593606896927
s23,7.493041833870397,0.4780701754385965,0.0,-14.256990563905111
s24,10.592199244577964,0.0,0.5333333333333333,-17.833692996875204
s25,8.578651914394655,0.6086956521739131,0.0,-14.37292967204356
s26,8.14443802561442,0.5429864253393665,0.0,-15.07280660180631
s27,8.510120168948882,0.0,0.5217391304347826,-17.27846250712225
s28,7.189133078527061,0.43119266055045874,0.0,-13.978379869808803
s29,8.503410813013494,0.0,0.5283018867924528,-16.428931683746526
s30,8.142667393573289,0.0,0.5638766519823789,-16.82966437283499
s31,6.927212409606008,0.4449760765550239,0.0,-14.207463675360263
s32,8.836093594042303,0.0,0.609375,-16.933305324103753
s33,7.781799073840278,0.5446428571428571,0.0,-14.744612082763277
s34,8.75247391945513,0.0,0.5714285714285714,-17.16094441986192
s35,7.714609048750617,0.17857142857142858,0.2602040816326531,-14.907813290922618
s36,6.25641499796306,0.3779264214046823,0.0,-12.62179431497255
s37,8.317250646523553,0.0,0.4342857142857143,-16.44088958394727
s38,7.621094284411799,0.5992063492063492,0.0,-14.612385587972822
s39,7.863121891718822,0.48186528497409326,0.0,-15.016226279555987
s40,8.588951308381437,0.0,0.5113122171945701,-16.233970188786056
s41,8.466791260314862,0.5020576131687243,0.0,-14.773666350374278
s42,6.965545209929878,0.28078817733990147,0.0,-14.223114459349283
s43,5.742710398507013,0.352,0.0,-12.589845608342173
s44,7.657337843103465,0.0,0.35051546391752575,-15.962999949624969
s45,6.929642414952987,0.3469387755102041,0.0,-13.487877008876485
s46,7.4079816446784985,0.5327102803738317,0.0,-15.42057609084416
s47,7.4779164198916375,0.38308457711442784,0.0,-14.363074992320104
s48,8.065752072747419,0.38333333333333336,0.2,-14.886735192184851
s49,10.146892179226201,0.0,0.27699530516431925,-16.709620968201843
s50,7.545430289743591,0.5726495726495726,0.0,-14.700583556594573
s51,7.570978629679006,0.31007751937984496,0.0,-14.221248994278127
s52,7.795687486574141,0.3333333333333333,0.0,-14.455269338758534
s53,9.562441706215767,0.0,0.2962962962962963,-16.89013290841563
s54,8.280447950103838,0.0,0.6254681647940075,-17.20944815722343
s55,7.825727923778901,0.0,0.5175438596491229,-15.625666807066917
s56,7.118939478946283,0.33649289099526064,0.0,-13.98744736555374
s57,7.87184986393648,0.5042372881355932,0.0,-14.226721854415624
s58,6.730625541378074,0.39171974522292996,0.0,-13.128456062247029
s59,7.346597587321452,0.0,0.5128205128205128,-16.197024854784633
s60,9.160102121533143,0.0,0.42934782608695654,-16.72765451482195
s61,9.473309271873642,0.0,0.3242009132420091,-16.50980416381348
s62,6.148514364065349,0.35185185185185186,0.0,-13.80421394955886
s63,9.742882945859217,0.0,0.46236559139784944,-17.27933600205615
s64,7.769754107745993,0.5120772946859904,0.0,-14.949588123724832
s65,8.9111807659691,0.0,0.40703517587939697,-16.239225489812437
s66,7.1192439903302756,0.4134275618374558,0.0,-13.677373383509172
s67,9.128092259359644,0.0,0.48148148148148145,-17.411462325920176
s68,8.853260947322894,0.56,0.0,-14.877118886172072
s69,7.753079548340686,0.5652173913043478,0.0,-14.331869669902717
s70,7.49323280261016,0.4010152284263959,0.0,-14.952781334373345
s71,8.175332159116204,0.23737373737373738,0.25757575757575757,-15.701559865088017
s72,8.44220422115419,0.0,0.4708994708994709,-16.392066794170535
s73,7.424144002640064,0.0,0.6206896551724138,-16.561591758528973
s74,8.574295382843832,0.13526570048309178,0.38164251207729466,-16.16936532813614
s75,8.365063336741047,0.5689655172413793,0.0,-14.7692533305889
s76,10.06391557310598,0.41409691629955947,0.0,-15.54181169575925
s77,7.611996221847688,0.6376811594202898,0.0,-13.556231325553487
s78,7.070887086618086,0.0,0.47643979057591623,-16.131532445300216
s79,6.66164388214787,0.3220338983050847,0.0,-13.693321238727007
s80,8.617523239859635,0.4318181818181818,0.0,-15.961038713945534
s81,6.646048985579415,0.40725806451612906,0.0,-13.710151023292028
s82,8.281343998915766,0.0,0.4791666666666667,-16.185140687374012
s83,6.763183164861317,0.26576576576576577,0.28378378378378377,-14.63129145817202
s84,7.178957498760083,0.0,0.4517766497461929,-15.583444359590429
s85,6.812443708937937,0.0,0.334841628959276,-14.366669266645731
s86,6.698713350829386,0.44398340248962653,0.0,-13.40858470992052
s87,6.967323671826372,0.0,0.5165876777251185,-16.904500939984523
s88,7.753117596667242,0.4036697247706422,0.0,-14.348796287974926
s89,7.649105010968406,0.5145631067961165,0.0,-15.034794736009978
s90,9.249949326069649,0.5875,0.0,-14.811799431990577
s91,6.408188336154115,0.4349442379182156,0.0,-12.886099257831914
s92,8.648605247617484,0.2681564245810056,0.17318435754189945,-15.808242754139789
s93,6.379429753159395,0.5942622950819673,0.0,-14.081327445249832
s94,8.16873537744894,0.609375,0.0,-14.175957480766638
s95,5.762343966074309,0.33617021276595743,0.0,-12.900278116957384
s96,8.83225100907908,0.4897959183673469,0.0,-15.639741522240698
s97,9.864920736579611,0.0,0.3595505617977528,-16.49006866380947
s98,8.36771699660819,0.35609756097560974,0.0,-14.74432582637551
s99,9.525029255992946,0.11398963730569948,0.27461139896373055,-16.17902320789352
s100,8.304615691286356,0.44554455445544555,0.0594059405940594,-15.88005443066773
s101,8.213920025343791,0.1148936170212766,0.3659574468085106,-16.066272541373422
s102,7.3427802944538945,0.40625,0.0,-14.511319344606942
s103,7.62066365597366,0.0,0.4909090909090909,-15.020925908615382
s104,7.5884127634499805,0.215962441314554,0.3145539906103286,-15.570368497237661
s105,7.761686981590299,0.33035714285714285,0.0,-14.349318630421704
s106,5.7658892999170455,0.4383561643835616,0.0,-12.137425277982828
s107,9.163218304965826,0.03755868544600939,0.49295774647887325,-16.590534338052468
s108,9.145415223907584,0.0,0.46808510638297873,-17.002500834263568
s109,8.907344867310053,0.47619047619047616,0.0,-15.664747560737933
s110,7.187712979897188,0.44339622641509435,0.0,-14.314191185572804
s111,7.672978409935292,0.0,0.5967741935483871,-16.45030650736458
s112,6.603286769071715,0.3383458646616541,0.0,-13.387622590854814
s113,8.208139417897124,0.502127659574468,0.0,-14.336758925319566
s114,9.49068504573804,0.15217391304347827,0.30434782608695654,-16.09955695453763
s115,7.46439061657171,0.28717948717948716,0.18974358974358974,-15.469296527640996
s116,7.928727650609704,0.0,0.6183206106870229,-16.37830542970395
s117,9.124632999567014,0.0,0.3103448275862069,-16.748074845178248
s118,8.021885171121083,0.547945205479452,0.0,-15.236429377160482
s119,8.968830926922529,0.48514851485148514,0.0,-15.255413068865394
s120,7.277771579613969,0.11926605504587157,0.42201834862385323,-14.90045415348265
s121,9.490619311909677,0.0,0.4807692307692308,-17.09928581270984
s122,8.362283466244515,0.0,0.4878048780487805,-16.51833889258148
s123,7.947663967689638,0.004310344827586207,0.33189655172413796,-15.842198362515218
s124,7.500155537108027,0.36,0.0,-14.344208354507998
s125,7.676721295760406,0.0,0.5652173913043478,-16.96687428130489
s126,7.024408552307285,0.0,0.4714285714285714,-16.260318653429746
s127,6.79957313540777,0.5145631067961165,0.0,-14.44652906875201
s128,7.697800396812369,0.44086021505376344,0.0,-15.507576943667393
s129,7.533342927184101,0.3888888888888889,0.0,-14.374743190819109
s130,6.124502077904181,0.4380165289256198,0.0,-12.943955034890427
s131,6.337033222495729,0.4523809523809524,0.0,-13.687287259333992
s132,8.333642239874484,0.08144796380090498,0.4751131221719457,-16.348044640870107
s133,8.579601425612095,0.48717948717948717,0.0,-15.265773316302363
s134,6.9515156101541775,0.38636363636363635,0.0,-13.589072045413566
s135,6.698438838755101,0.5792682926829268,0.0,-12.515310431208313
s136,8.281968440787288,0.42857142857142855,0.0,-15.518250066327319
s137,5.665057747716694,0.3983739837398374,0.0,-12.515506683152273
s138,8.1125951006905,0.2205128205128205,0.26666666666666666,-15.151188127445035
s139,8.715718019493625,0.0,0.5352112676056338,-17.16590059353486
s140,8.53370788928809,0.4897959183673469,0.0,-15.172457686677614
s141,7.727405448227938,0.3333333333333333,0.12380952380952381,-15.152729791844921
s142,8.389591380956231,0.43575418994413406,0.0,-15.71494590073632
s143,6.224884257878246,0.39928057553956836,0.0,-13.172757648509512
s144,9.290205280403852,0.0,0.4632352941176471,-15.67547130773729
s145,9.792510171143572,0.0,0.4350282485875706,-17.17630807447705
s146,6.546579819570549,0.35331230283911674,0.0,-12.710630836176053
s147,8.089860798356693,0.5930232558139535,0.0,-14.164776041754184
s148,6.9081296459385735,0.34977578475336324,0.20179372197309417,-15.462836407156423
s149,6.851404144405834,0.42214532871972316,0.0,-13.082580507360127
s150,6.34487315278728,0.2783018867924528,0.0,-13.433506721335487
s151,7.969193585505869,0.5049019607843137,0.0,-15.36729547226238
s152,8.462080179948535,0.0,0.4536082474226804,-16.779441641259616
s153,9.21534390561452,0.4597156398104265,0.0,-15.389939540390086
s154,6.679636276886174,0.0,0.3543307086614173,-13.527805430564108
s155,9.381766813453464,0.0,0.4095238095238095,-16.95942368239437
s156,7.876232974733705,0.4734848484848485,0.14772727272727273,-14.219144140701761
s157,6.539948998671028,0.0,0.5535714285714286,-17.218073712859145
s158,6.241825264823305,0.3058823529411765,0.0,-13.066946568314426
s159,9.840996596660752,0.3371212121212121,0.2878787878787879,-16.105686445534644
s160,7.84276979935228,0.5348837209302325,0.0,-14.69958879574686
s161,7.267264865374984,0.3141592920353982,0.084070796460177,-13.97090813949345
s162,6.41263607107266,0.5238095238095238,0.0,-14.466783426764264
s163,6.832702694222424,0.6296296296296297,0.0,-13.695234210711831
s164,8.320800917846281,0.40476190476190477,0.11904761904761904,-15.295032222039637
s165,8.505863207497077,0.04128440366972477,0.5,-16.333212068455005
s166,7.956207279171495,0.41232227488151657,0.0,-14.895269547139513
s167,5.971986436857214,0.41832669322709165,0.0,-13.164119695802787
s168,8.276929850966233,0.453551912568306,0.0,-15.219941458672247
s169,9.188941833158308,0.0,0.36312849162011174,-16.46060855285067
s170,7.447677623786754,0.0,0.42585551330798477,-14.751385910906885
s171,6.821215751339451,0.3944954128440367,0.0,-14.131630786422615
s172,7.646914710507245,0.4358974358974359,0.0,-15.118872805478848
s173,6.915614748782852,0.0,0.5,-16.16800548598967
s174,7.908297007036147,0.0,0.3465346534653465,-15.89203754588484
s175,6.640260690888195,0.46296296296296297,0.0,-13.424925855231548
s176,9.633522562816404,0.5639097744360902,0.0,-14.661950300389028
s177,9.839773629507981,0.0,0.4528301886792453,-17.47555642548953
s178,7.876158930078242,0.5349794238683128,0.04938271604938271,-14.922077243742372
s179,8.997948156684945,0.0,0.38461538461538464,-15.187117452462386
s180,7.24283335996993,0.44776119402985076,0.05970149253731343,-14.932159777637674
s181,7.466392614394272,0.45161290322580644,0.0,-13.705843390079421
s182,7.324806503268224,0.0,0.35051546391752575,-14.161135288684848
s183,8.06975576833878,0.5588235294117647,0.07352941176470588,-13.929142002209655
s184,6.325507573825497,0.4143835616438356,0.0,-13.042550644309747
s185,7.909151322271386,0.5335968379446641,0.0,-14.29154097939297
s186,7.808092794731099,0.13736263736263737,0.3131868131868132,-15.853724808766573
s187,9.36294665994728,0.07731958762886598,0.4072164948453608,-16.56045021471009
s188,7.91256065925392,0.0,0.5892116182572614,-16.306748915297373
s189,6.534507077105577,0.3545816733067729,0.0,-13.39821218697675
s190,8.187426344359103,0.5238095238095238,0.0,-14.87586583272424
s191,8.13889560446888,0.0,0.6268656716417911,-16.208369323640035
s192,5.799175375307358,0.0,0.5067264573991032,-17.176198381582086
s193,6.378592476872269,0.46779661016949153,0.0,-12.844848328541334
s194,7.793716226450307,0.0,0.5594713656387665,-16.567944617650753
s195,8.640001599044416,0.12,0.38,-15.52220045334882
s196,6.720003856388139,0.38095238095238093,0.0,-13.480029818821032
s197,8.948887189458219,0.3755656108597285,0.0,-15.392688388428494
s198,8.31749762768357,0.0,0.4470046082949309,-16.370092303777266
s199,8.44146637637013,0.09649122807017543,0.43859649122807015,-16.443291634338372
s200,8.746260673324942,0.3288888888888889,0.22666666666666666,-15.6531156589674
s201,8.643864467706148,0.5614035087719298,0.0,-14.946000808343964
s202,9.520851579129097,0.0,0.5144230769230769,-17.23550588652722
s203,6.6481176575666,0.42857142857142855,0.0,-14.672594661848942
s204,6.935998042748493,0.3870967741935484,0.0,-13.366466702807527
s205,6.614226812951216,0.35537190082644626,0.0,-14.2915872659931
s206,6.730248098944498,0.0,0.3560606060606061,-14.12886778391386
