sample_id,E,D
s1,0.4148104871669471,-1.6980891898205284e-06
s2,0.3422111929106982,-1.9280925629830933e-07
s3,0.3098184069643846,-1.2530731656284801e-06
s4,0.33613839969009623,-1.5548334281278874e-06
s5,0.36490794022980216,-2.5372881333892426e-07
s6,0.3407892375254205,-3.0382093198426364e-06
s7,0.34767667371959776,-2.132621560953198e-07
s8,0.2806829385133619,-8.291246886999891e-07
s9,0.3045902517658174,-2.608162557654595e-07
s10,0.3094841454596282,-1.390544323333929e-07
s11,0.35683137520963887,-1.5617861687165859e-06
s12,0.3734380360944447,-1.2351719347662682e-06
s13,0.32890301821612783,-2.224495406764447e-06
s14,0.3166502385491129,-1.4428752575096522e-06
s15,0.37615745986373555,-8.13465258816962e-07
s16,0.3301976321696667,-2.400631197593129e-07
s17,0.31875434318967527,-8.374708482228724e-08
s18,0.32893839491502236,-2.647305110801248e-06
s19,0.3407396330997306,-3.9106825152355914e-07
s20,0.32644688977586744,-1.0785985693163928e-06
s21,0.36764581741548635,-3.8527570035395907e-07
s22,0.3588738706394696,-4.0544191957830733e-07
s23,0.32285019314284424,-2.6493069735645673e-06
s24,0.45638255434016484,-3.118307347642106e-07
s25,0.36962551242516517,-4.1806885633914476e-06
s26,0.35091668349212374,-1.44378833617686e-06
s27,0.36667270797750134,-1.554204577900423e-07
s28,0.3097557780126785,-3.2461928000931737e-06
s29,0.3663836241971582,-3.2397533997948746e-07
s30,0.35084039286020974,-1.878871240137165e-07
s31,0.2984704895511851,-1.9309816320334875e-06
s32,0.3807178161704293,-2.4406726619876096e-07
s33,0.3352917799860231,-1.6739759833543412e-06
s34,0.37711492315454104,-1.8324713237451684e-07
s35,0.33239678579562437,-1.3441206288791444e-06
s36,0.2695680653141137,-8.60162460294275e-06
s37,0.3583626032233921,-2.850335666818422e-07
s38,0.32836754634949944,-1.884541537047678e-06
s39,0.33879570910334483,-1.2416162538968297e-06
s40,0.3700692789770689,-4.3655338345626755e-07
s41,0.3648058097496108,-2.660179608026415e-06
s42,0.3001221221274675,-1.916854587880098e-06
s43,0.24743424665543878,-6.941597196377298e-06
s44,0.32992916046873416,-3.372835359652303e-07
s45,0.2985751903807019,-4.9615130570814686e-06
s46,0.31918523315486746,-5.203063508414998e-07
s47,0.32219848947794083,-2.2458847732233068e-06
s48,0.3475263680976589,-1.2876634644443243e-06
s49,0.43719575740986805,-7.125624731775439e-07
s50,0.32510743705954875,-1.3681179858696195e-06
s51,0.3262082298571204,-2.9055066585385573e-06
s52,0.33589018539106263,-2.7569784966323312e-06
s53,0.4120137349045458,-3.858979339548657e-07
s54,0.3567768977234476,-8.283298856427123e-08
s55,0.33718452768471063,-6.450439844114216e-07
s56,0.30673136981044374,-2.9728713767110713e-06
s57,0.33917176832985,-3.2894997032309006e-06
s58,0.2900002167589202,-6.217182226610445e-06
s59,0.3165403987587705,-2.5099906268119273e-07
s60,0.3946782634760216,-3.669582012852561e-07
s61,0.4081733154486487,-4.947665544740886e-07
s62,0.26491898670672553,-1.7681091432020609e-06
s63,0.41978834638562584,-2.6423803116928053e-07
s64,0.3347728025512034,-1.2447984285092937e-06
s65,0.38395307209140084,-5.630773136303687e-07
s66,0.30674449019083344,-3.997939930608779e-06
s67,0.39329906522592295,-1.3667293927573862e-07
s68,0.38145750019265606,-2.717783543080016e-06
s69,0.33405435137424067,-3.093987512639421e-06
s70,0.32285842134921006,-1.1344234084510136e-06
s71,0.3522478087132517,-6.841098667201481e-07
s72,0.36374643619774405,-3.591834452671276e-07
s73,0.3198816152791402,-2.1421160491317418e-07
s74,0.3694378040039659,-5.086376160962284e-07
s75,0.36042269265217663,-2.4046716602033986e-06
s76,0.43362057207042976,-3.1085845683331454e-06
s77,0.32797554116373207,-6.786859301806187e-06
s78,0.3046609524168015,-1.4924672195488563e-07
s79,0.28702802702615826,-3.129427957405497e-06
s80,0.3713003482545022,-6.8511922274809e-07
s81,0.28635609492157427,-3.122202855911217e-06
s82,0.3568155054796046,-3.94391876219382e-07
s83,0.2914030162177893,-1.0074304439760529e-06
s84,0.3093173462027479,-4.240795346077562e-07
s85,0.29352548884266766,-1.4176430453996542e-06
s86,0.2886252268535277,-4.554367413591154e-06
s87,0.30019875012174685,-8.11696179209814e-08
s88,0.33405599074979064,-2.6565304067950826e-06
s89,0.3295744351777446,-9.689886162411881e-07
s90,0.39854947999677237,-4.144279070343805e-06
s91,0.27610747249150647,-7.182552216925321e-06
s92,0.3726395683510095,-7.873538484197013e-07
s93,0.27486836102246454,-1.4684425580239746e-06
s94,0.35196357538283435,-4.5871286711725745e-06
s95,0.24828019162968573,-4.843250573271861e-06
s96,0.3805522519943511,-1.078469540446219e-06
s97,0.4250465479516051,-8.06387920869992e-07
s98,0.3605370300093725,-2.8037694615228673e-06
s99,0.41040175714595567,-9.253971477310704e-07
s100,0.3578182051232452,-6.090359825105672e-07
s101,0.35391043122901467,-4.1785468270633007e-07
s102,0.3163759243347785,-1.4694198494961785e-06
s103,0.32834899200568174,-1.221804063542525e-06
s104,0.3269594085613143,-5.101485168038288e-07
s105,0.33442521697845234,-3.102695088738766e-06
s106,0.24843294824592524,-1.1074927668607539e-05
s107,0.39481252943174633,-4.951962518694048e-07
s108,0.3940454540189,-2.816888835778464e-07
s109,0.38378779600587953,-1.1096641376996613e-06
s110,0.3096945906968859,-1.8474052335840863e-06
s111,0.3306030603527163,-2.508447688414032e-07
s112,0.284513613568231,-4.711228162647064e-06
s113,0.353661364124891,-3.7995096873162706e-06
s114,0.408921979619022,-1.1333104372930815e-06
s115,0.32161570770372044,-6.099629070089092e-07
s116,0.3416224425446906,-2.387916971014367e-07
s117,0.3931500172535583,-3.4926284494895297e-07
s118,0.34563628954523135,-1.11056168537524e-06
s119,0.386437025339119,-2.2398895408824873e-06
s120,0.3135749155312287,-9.714674427198905e-07
s121,0.4089191473674941,-2.736296695875185e-07
s122,0.3603029172997076,-2.5622362473206354e-07
s123,0.34243834531985406,-4.3174663441745035e-07
s124,0.3231566989004724,-2.330575131864907e-06
s125,0.33076432882529944,-1.1118739815129919e-07
s126,0.30265834731837415,-1.7259483417930337e-07
s127,0.292970938735755,-1.099561128421189e-06
s128,0.3316725570184401,-6.279430373542456e-07
s129,0.32458663290238,-2.297576415406899e-06
s130,0.2638843773455591,-5.392198752414828e-06
s131,0.27304163585305746,-2.4618760026731494e-06
s132,0.35906886233639285,-3.053112038704152e-07
s133,0.3696664236981486,-1.4259535479013965e-06
s134,0.2995176334434691,-4.250668244149589e-06
s135,0.28861339904338495,-1.3227216240592287e-05
s136,0.3568424105981529,-8.502603914969977e-07
s137,0.24408845280274935,-6.445494293539423e-06
s138,0.34954467801159245,-1.3248833237243684e-06
s139,0.37553123395797594,-1.5760644576763463e-07
s140,0.3676890242127704,-1.6855166562104422e-06
s141,0.33294813998987316,-1.1079142881928065e-06
s142,0.36147952430851327,-7.731066328279694e-07
s143,0.268209510837572,-4.4472090024678474e-06
s144,0.40028397486816075,-1.4439362319885398e-06
s145,0.42192661808134413,-3.4443104824031713e-07
s146,0.28207030015761625,-9.77867379716171e-06
